year,habit,new_name,goal,type_norm,group,unit
2026,"1 hr Meeting Canceled Time, Guilt Free",Meeting Canceled,1,0,Fulfill,hr
2026,100 Active Zone Minutes,Active Zone Minutes,100,0,Health,min
2026,"15 Hours of Math, new note taking",Math,15,0,Work,hr
2026,2 Hours Stranger Socializing,Stranger Socializing,3,0,Social,hr
2026,2 hours Friend Quality Time,Friend Quality,3,0,Social,hr
2026,5 hours Non-Math Work,Non-Math,3,0,Work,hr
2026,Meal Prep 5 and Hours,Meal Prep,7,0,Health,hr
2026,3h Tutoring JB,Tutoring JB,3,0,Work,hr
2026,Lift 3 times,Lift,3,0,Health,count
2026,2 hours Star Item Time,Star Item Time,2,0,Fulfill,hr
2026,3h Finding Roommates,Finding Roommates,1.5,0,Family,hr
2026,Helping Momo,Helping Momo,3,0,Family,hr
2026,Library Trips,Library Trips,3,0,Work,count
2026,10min Spanish Practice,Spanish Practice,2,0,Fulfill,count
2026,Exposure Therapy,Exposure Therapy,4,0,Fulfill,count
2026,2 a month Sabbath,Sabbath,1,0,Fulfill,count
2026,Airplane Time 30m,Airplane Time,30,0,Fulfill,min
2026,1 Convo with Dad,Convo with Dad,1,0,Family,count
2026,3 Days where I did enough! (6h goal),Days I did enough,3,0,Work,count
2026,Eating Meals,Eating Meals,10,1,Minimize,hr
2026,Morning and Night Routine,FT Routine,6,1,Minimize,hr
2026,5 Hours Creative Time,Creative Time,5,0,Fulfill,hr
2026,Family Help,Family Help,4,0,Family,hr
