Year,Week,Category,Unit,Measure,Goal
2026,1,Math,Hours,13,15
2026,2,Math,Hours,12,15
2026,3,Math,Hours,11,15
2026,4,Math,Hours,16,15
2026,5,Math,Hours,0,15
2026,6,Math,Hours,3,15
2026,1,Zone Minutes,Minutes,76,50
2026,2,Zone Minutes,Minutes,54,60
2026,3,Zone Minutes,Minutes,107,70
2026,4,Zone Minutes,Minutes,149,80
2026,5,Zone Minutes,Minutes,14,90
2026,6,Zone Minutes,Minutes,54,100
2026,1,Cooking,Hours,6h 24m,7
2026,2,Cooking,Hours,8h 53m,7
2026,3,Cooking,Hours,4h 15m,7
2026,4,Cooking,Hours,8h,7
2026,5,Cooking,Hours,9.5h,7
2026,6,Cooking,Hours,4.9h,7
