"","week","habit","year","total","goal","type_norm","group","unit","met_goal","goal_dist","goal_group"
"1",7,"Math",2026,16.17,15,0,"Work","hr",1,0.0780000000000001,"met"
"2",7,"Non-Math",2026,7.5,3,0,"Work","hr",1,1.5,"v_over"
"3",7,"Library Trips",2026,0,3,0,"Work","count",0,-1,"bottom"
"4",7,"Tutoring JB",2026,0,3,0,"Work","hr",0,-1,"bottom"
"5",7,"Days I did enough",2026,0,3,0,"Work","count",0,-1,"bottom"
"6",7,"Meeting Canceled",2026,82.37,1,0,"Fulfill","hr",1,81.37,"v_over"
"7",7,"Star Item Time",2026,0,2,0,"Fulfill","hr",0,-1,"bottom"
"8",7,"Spanish Practice",2026,0,2,0,"Fulfill","count",0,-1,"bottom"
"9",7,"Exposure Therapy",2026,0,4,0,"Fulfill","count",0,-1,"bottom"
"10",7,"Sabbath",2026,0,1,0,"Fulfill","count",0,-1,"bottom"
"11",7,"Airplane Time",2026,0,30,0,"Fulfill","min",0,-1,"bottom"
"12",7,"Creative Time",2026,0,5,0,"Fulfill","hr",0,-1,"bottom"
"13",7,"Stranger Socializing",2026,3,3,0,"Social","hr",1,0,"met"
"14",7,"Friend Quality",2026,3.5,3,0,"Social","hr",1,0.166666666666667,"over"
"15",7,"Active Zone Minutes",2026,78,50,0,"Health","min",1,0.56,"v_over"
"16",7,"Meal Prep",2026,5,7,0,"Health","hr",0,-0.285714285714286,"middle"
"17",7,"Lift",2026,0,3,0,"Health","count",0,-1,"bottom"
"18",7,"Finding Roommates",2026,0,1.5,0,"Family","hr",0,-1,"bottom"
"19",7,"Helping Momo",2026,0,3,0,"Family","hr",0,-1,"bottom"
"20",7,"Convo with Dad",2026,0,1,0,"Family","count",0,-1,"bottom"
"21",7,"Family Help",2026,0,4,0,"Family","hr",0,-1,"bottom"
"22",7,"Eating Meals",2026,0,10,1,"Minimize","hr",0,-1,"bottom"
"23",7,"FT Routine",2026,0,6,1,"Minimize","hr",0,-1,"bottom"
"24",8,"Math",2026,10.5,15,0,"Work","hr",0,-0.3,"middle"
"25",8,"Non-Math",2026,7.83,3,0,"Work","hr",1,1.61,"v_over"
"26",8,"Library Trips",2026,0,3,0,"Work","count",0,-1,"bottom"
"27",8,"Tutoring JB",2026,3.5,3,0,"Work","hr",1,0.166666666666667,"over"
"28",8,"Days I did enough",2026,0,3,0,"Work","count",0,-1,"bottom"
"29",8,"Meeting Canceled",2026,0,1,0,"Fulfill","hr",0,-1,"bottom"
"30",8,"Star Item Time",2026,0,2,0,"Fulfill","hr",0,-1,"bottom"
"31",8,"Spanish Practice",2026,0,2,0,"Fulfill","count",0,-1,"bottom"
"32",8,"Exposure Therapy",2026,0,4,0,"Fulfill","count",0,-1,"bottom"
"33",8,"Sabbath",2026,0,1,0,"Fulfill","count",0,-1,"bottom"
"34",8,"Airplane Time",2026,0,30,0,"Fulfill","min",0,-1,"bottom"
"35",8,"Creative Time",2026,0,5,0,"Fulfill","hr",0,-1,"bottom"
"36",8,"Stranger Socializing",2026,9.5,3,0,"Social","hr",1,2.16666666666667,"v_over"
"37",8,"Friend Quality",2026,11.5,3,0,"Social","hr",1,2.83333333333333,"v_over"
"38",8,"Active Zone Minutes",2026,54,50,0,"Health","min",1,0.08,"met"
"39",8,"Meal Prep",2026,5,7,0,"Health","hr",0,-0.285714285714286,"middle"
"40",8,"Lift",2026,1,3,0,"Health","count",0,-0.666666666666667,"middle"
"41",8,"Finding Roommates",2026,0,1.5,0,"Family","hr",0,-1,"bottom"
"42",8,"Helping Momo",2026,0,3,0,"Family","hr",0,-1,"bottom"
"43",8,"Convo with Dad",2026,0,1,0,"Family","count",0,-1,"bottom"
"44",8,"Family Help",2026,0,4,0,"Family","hr",0,-1,"bottom"
"45",8,"Eating Meals",2026,0,10,1,"Minimize","hr",0,-1,"bottom"
"46",8,"FT Routine",2026,0,6,1,"Minimize","hr",0,-1,"bottom"
"47",9,"Math",2026,14.75,15,0,"Work","hr",0,-0.0166666666666667,"met"
"48",9,"Non-Math",2026,2,3,0,"Work","hr",0,-0.333333333333333,"middle"
"49",9,"Library Trips",2026,0,3,0,"Work","count",0,-1,"bottom"
"50",9,"Tutoring JB",2026,0.75,3,0,"Work","hr",0,-0.75,"bottom"
"51",9,"Days I did enough",2026,0,3,0,"Work","count",0,-1,"bottom"
"52",9,"Meeting Canceled",2026,0,1,0,"Fulfill","hr",0,-1,"bottom"
"53",9,"Star Item Time",2026,0,2,0,"Fulfill","hr",0,-1,"bottom"
"54",9,"Spanish Practice",2026,0,2,0,"Fulfill","count",0,-1,"bottom"
"55",9,"Exposure Therapy",2026,0,4,0,"Fulfill","count",0,-1,"bottom"
