"","week","habit","year","total"
"1",7,"1 hr Meeting Canceled Time, Guilt Free",2026,82.37
"2",7,"100 Active Zone Minutes",2026,78
"3",7,"15 Hours of Math, new note taking",2026,16.17
"4",7,"2 Hours Stranger Socializing",2026,3
"5",7,"2 hours Friend Quality Time",2026,3.5
"6",7,"5 hours Non-Math Work",2026,7.5
"7",7,"Meal Prep 5 and Hours",2026,5
"8",8,"100 Active Zone Minutes",2026,54
"9",8,"15 Hours of Math, new note taking",2026,10.5
"10",8,"2 Hours Stranger Socializing",2026,9.5
"11",8,"2 hours Friend Quality Time",2026,11.5
"12",8,"3h Tutoring JB",2026,3.5
"13",8,"5 hours Non-Math Work",2026,7.83
"14",8,"Lift 3 times",2026,1
"15",8,"Meal Prep 5 and Hours",2026,5
"16",9,"15 Hours of Math, new note taking",2026,14.75
"17",9,"2 Hours Stranger Socializing",2026,3.5
"18",9,"3h Tutoring JB",2026,0.75
"19",9,"5 hours Non-Math Work",2026,2
"20",10,"1 hr Meeting Canceled Time, Guilt Free",2026,50
"21",10,"100 Active Zone Minutes",2026,60
"22",10,"15 Hours of Math, new note taking",2026,13.91
"23",10,"2 Hours Stranger Socializing",2026,4
"24",10,"2 hours Friend Quality Time",2026,7.5
"25",10,"2 hours Star Item Time",2026,0.83
"26",10,"3h Finding Roommates",2026,2
"27",10,"3h Tutoring JB",2026,4.6
"28",10,"5 hours Non-Math Work",2026,2.42
"29",10,"Helping Momo",2026,1
"30",10,"Lift 3 times",2026,2
"31",10,"Meal Prep 5 and Hours",2026,3.93
"32",11,"1 hr Meeting Canceled Time, Guilt Free",2026,50
"33",11,"100 Active Zone Minutes",2026,60
"34",11,"15 Hours of Math, new note taking",2026,10.67
"35",11,"2 Hours Stranger Socializing",2026,8
"36",11,"2 hours Friend Quality Time",2026,13.75
"37",11,"2 hours Star Item Time",2026,1.33
"38",11,"3h Finding Roommates",2026,1
"39",11,"3h Tutoring JB",2026,1.25
"40",11,"5 hours Non-Math Work",2026,3.17
"41",11,"Lift 3 times",2026,1
"42",11,"Meal Prep 5 and Hours",2026,3
"43",12,"100 Active Zone Minutes",2026,59
"44",12,"15 Hours of Math, new note taking",2026,12.08
"45",12,"2 Hours Stranger Socializing",2026,5.83
"46",12,"2 hours Friend Quality Time",2026,12.5
"47",12,"2 hours Star Item Time",2026,0.33
