Habit,Date,Value,Unit,Tag,Habit Type
Eating Meals,2026-04-24,0.39,hr,,Build
Eating Meals,2026-04-25,1,hr,,Build
Eating Meals,2026-04-27,0.3,hr,,Build
Eating Meals,2026-04-28,0.72,hr,,Build
Eating Meals,2026-05-01,0.42,hr,,Build
Eating Meals,2026-05-05,0.5,hr,,Build
Eating Meals,2026-05-06,1.53,hr,,Build
Eating Meals,2026-05-07,0.33,hr,,Build
Morning and Night Routine,2026-04-23,1.25,hr,,Build
Morning and Night Routine,2026-04-24,1.13,hr,,Build
Morning and Night Routine,2026-04-25,0.17,hr,,Build
Morning and Night Routine,2026-04-26,0.92,hr,,Build
Morning and Night Routine,2026-04-27,0.88,hr,,Build
Morning and Night Routine,2026-04-28,0.33,hr,,Build
Morning and Night Routine,2026-04-30,0.9,hr,,Build
Morning and Night Routine,2026-05-01,0.88,hr,,Build
Morning and Night Routine,2026-05-03,0.32,hr,,Build
Morning and Night Routine,2026-05-05,0.78,hr,,Build
Morning and Night Routine,2026-05-07,0.25,hr,,Build
1 Convo with Dad,2026-04-16,1,,,Build
1 Convo with Dad,2026-04-20,0,,,Build
Library Trips,2026-03-19,1,,,Build
Library Trips,2026-03-23,1,,,Build
Library Trips,2026-03-26,1,,,Build
Library Trips,2026-03-29,1,,,Build
Library Trips,2026-03-30,1,,,Build
Library Trips,2026-04-02,1,,,Build
Library Trips,2026-04-03,1,,,Build
Library Trips,2026-04-06,1,,,Build
Library Trips,2026-04-07,1,,,Build
Library Trips,2026-04-08,1,,,Build
Library Trips,2026-04-13,1,,,Build
Library Trips,2026-04-14,1,,,Build
Library Trips,2026-04-15,1,,,Build
Library Trips,2026-04-21,1,,,Build
Library Trips,2026-04-28,1,,,Build
Library Trips,2026-04-29,1,,,Build
Library Trips,2026-04-30,1,,,Build
Library Trips,2026-05-06,1,,,Build
3h Finding Roommates,2026-03-07,2,hr,,Build
3h Finding Roommates,2026-03-13,1,hr,,Build
3h Finding Roommates,2026-03-16,1.05,hr,,Build
3h Finding Roommates,2026-03-17,0.42,hr,,Build
3h Finding Roommates,2026-03-18,0.42,hr,,Build
3h Finding Roommates,2026-03-31,1.5,hr,,Build
3h Finding Roommates,2026-04-01,0.25,hr,,Build
3h Finding Roommates,2026-04-02,0.27,hr,,Build
3h Finding Roommates,2026-04-03,2.17,hr,,Build
3h Finding Roommates,2026-04-06,0.33,hr,,Build
3h Finding Roommates,2026-04-09,1.25,hr,,Build
3h Finding Roommates,2026-04-17,1.45,hr,,Build
3h Finding Roommates,2026-04-23,0.95,hr,,Build
3h Finding Roommates,2026-04-24,0.85,hr,,Build
3h Finding Roommates,2026-04-27,1.6,hr,,Build
"15 Hours of Math, new note taking",2026-02-13,15.17,hr,,Build
"15 Hours of Math, new note taking",2026-02-14,1,hr,,Build
"15 Hours of Math, new note taking",2026-02-16,3,hr,,Build
"15 Hours of Math, new note taking",2026-02-18,2.5,hr,,Build
"15 Hours of Math, new note taking",2026-02-19,4.5,hr,,Build
"15 Hours of Math, new note taking",2026-02-21,0.5,hr,,Build
"15 Hours of Math, new note taking",2026-02-23,6,hr,,Build
"15 Hours of Math, new note taking",2026-02-24,4.5,hr,,Build
"15 Hours of Math, new note taking",2026-02-25,4.25,hr,,Build
"15 Hours of Math, new note taking",2026-03-03,3.33,hr,,Build
"15 Hours of Math, new note taking",2026-03-04,4.5,hr,,Build
"15 Hours of Math, new note taking",2026-03-05,4,hr,,Build
"15 Hours of Math, new note taking",2026-03-06,1.25,hr,,Build
"15 Hours of Math, new note taking",2026-03-08,0.83,hr,,Build
"15 Hours of Math, new note taking",2026-03-09,3.75,hr,,Build
"15 Hours of Math, new note taking",2026-03-10,0.25,hr,,Build
"15 Hours of Math, new note taking",2026-03-11,3.17,hr,,Build
"15 Hours of Math, new note taking",2026-03-12,0.17,hr,,Build
"15 Hours of Math, new note taking",2026-03-13,2.83,hr,,Build
"15 Hours of Math, new note taking",2026-03-15,0.5,hr,,Build
"15 Hours of Math, new note taking",2026-03-16,0.33,hr,,Build
"15 Hours of Math, new note taking",2026-03-17,1.33,hr,,Build
"15 Hours of Math, new note taking",2026-03-18,0.17,hr,,Build
"15 Hours of Math, new note taking",2026-03-19,4.75,hr,,Build
"15 Hours of Math, new note taking",2026-03-22,5.5,hr,,Build
"15 Hours of Math, new note taking",2026-03-25,1.3,hr,,Build
"15 Hours of Math, new note taking",2026-03-26,2.22,hr,,Build
"15 Hours of Math, new note taking",2026-03-29,1,hr,,Build
"15 Hours of Math, new note taking",2026-03-30,2.98,hr,,Build
"15 Hours of Math, new note taking",2026-03-31,0.83,hr,,Build
"15 Hours of Math, new note taking",2026-04-02,1.3,hr,,Build
"15 Hours of Math, new note taking",2026-04-03,2.67,hr,,Build
"15 Hours of Math, new note taking",2026-04-06,2.85,hr,,Build
"15 Hours of Math, new note taking",2026-04-07,1.18,hr,,Build
"15 Hours of Math, new note taking",2026-04-08,3.22,hr,,Build
"15 Hours of Math, new note taking",2026-04-09,3.65,hr,,Build
"15 Hours of Math, new note taking",2026-04-10,3.1,hr,,Build
